Tipo de Registro	Id Cliente	Id Producto	Proveedor	Descripcion del Producto	Unidad Principal	Codigo de barras Unid. Principal	Unidad Secundaria	Codigo de barras Unid. Secundaria	Unidad Alternativa 1	Codigo de barras Alternativa 1	Convercion U. Sec. A U. Principal	Convercion U. Alt 1 a U. Principal	Codigo de Grupo	Descripcion de Grupo	Codigo de Subgrupo	Descripcion de Subgrupo	Codigo de Familia	Descripcion de Subfamilia	Codigo de Familia	Descripcion de Subfamilia	Estado	Fecha del Archivo
L	9100063766	10514	CAMPARI	APERITIVO APEROL ESTUCHE + 2 ESPUMANTES	UNI	7791200000688											1	APERITIVOS C/ALCOHOL			I	2021-12-18
L	9100063766	10515	CAMPARI	LICOR FRANGELICO X 700	UNI	8004160660304											44	LICORES			A	2021-12-18
L	9100063766	11076	CAMPARI	APERITIVO CYNAR HIGH PROOF X 750	UNI	7791200000619											1	APERITIVOS C/ALCOHOL			A	2021-12-18
L	9100063766	11077	CAMPARI	VODKA SKYY INFUSIONS PASSION FRUIT X750	UNI	7896010004526											10	VODKA			A	2021-12-18
L	9100063766	11078	CAMPARI	VODKA SKYY INFUSIONS RASBERRY X750	UNI	7791200200583											10	VODKA			A	2021-12-18
L	9100063766	11079	CAMPARI	VODKA SKYY INFUSIONS CITRUS X 750	UNI	7896010004519											10	VODKA			A	2021-12-18
L	9100063766	11080	CAMPARI	WHISKY WILD TURKEY 81 X 750	UNI	721059847506 											14	WHISKY			A	2021-12-18
L	9100063766	11081	CAMPARI	WHISKY WILD TURKEY 101 X 750	UNI	721059897501 											14	WHISKY			A	2021-12-18
L	9100063766	11082	CAMPARI	LICOR GRAND MARNIER X 700	UNI	3018300000245											44	LICORES			A	2021-12-18
L	9100063766	11097	CAMPARI	APERITIVO CYNAR X 750	UNI	7791200000626											1	APERITIVOS C/ALCOHOL			A	2021-12-18
L	9100063766	11207	CAMPARI	APERITIVO APEROL + COPA	UNI	7791200200460											1	APERITIVOS C/ALCOHOL			I	2021-12-18
L	9100063766	11490	CAMPARI	VODKA BOLS MELON X 750	UNI	7791200200453											10	VODKA			A	2021-12-18
L	9100063766	11491	CAMPARI	VODKA BOLS DURAZNO X 750	UNI	7791200001012											10	VODKA			A	2021-12-18
L	9100063766	11492	CAMPARI	VODKA BOLS FRUTILLA X 750	UNI	7791200001043											10	VODKA			A	2021-12-18
L	9100063766	11493	CAMPARI	VODKA BOLS MANGO Y MARACUYA X 750	UNI	7798131200927											10	VODKA			A	2021-12-18
L	9100063766	11961	CAMPARI	VODKA SKYY INFUSIONS PINEAPPLE X 750	UNI	7896010000535											10	VODKA			A	2021-12-18
L	9100063766	12037	CAMPARI	TEQUILA CUERVO TRADICIONAL X695	UNI	7501035012028											9	TEQUILA			A	2021-12-18
L	9100063766	12038	CAMPARI	WHISKY WILD TURKEY AMERICAN HONEY X750	UNI	721059817509 											14	WHISKY			A	2021-12-18
L	9100063766	12039	CAMPARI	ESPUMANTE CINZANO PROSECCO 6X750	UNI	8000020005285											1	APERITIVOS C/ALCOHOL			I	2021-12-18
L	9100063766	12040	CAMPARI	ESPUMANTE CINZANO ASTI 6 X 750	UNI	8000020000280											1	APERITIVOS C/ALCOHOL			I	2021-12-18
L	9100063766	12041	CAMPARI	TEQUILA CUERVO SILVER X 750	UNI	7501035042322											9	TEQUILA			A	2021-12-18
L	9100063766	12042	CAMPARI	TEQUILA CUERVO REPOSADO 12 X 750	UNI	7501035010109											9	TEQUILA			I	2021-12-18
L	9100063766	12043	CAMPARI	GIN BULLDOG X 700	UNI	897076002010 											6	GIN			A	2021-12-18
L	9100063766	12871	CAMPARI	APERITIVO CAMPARI BOTELLON 1 X 3 LTS.	UNI	8000040011372											1	APERITIVOS C/ALCOHOL			A	2021-12-18
L	9100063766	12872	CAMPARI	APERITIVO APEROL BOTELLON 1 X 3 LTS.	UNI	8002230340729											1	APERITIVOS C/ALCOHOL			A	2021-12-18
L	9100063766	12873	CAMPARI	VODKA SKYY INFUSIONS APRICOT X750	UNI	7791200200606											10	VODKA			A	2021-12-18
L	9100063766	13372	CAMPARI	APERITIVO CAMPARI  X 450	UNI	7791200000565											1	APERITIVOS C/ALCOHOL			A	2021-12-18
L	9100063766	13373	CAMPARI	BOLS LICOR CASSIS X 700	UNI	7791200000442											44	LICORES			A	2021-12-18
L	9100063766	13374	CAMPARI	GIN DRY BOLS  X 750	UNI	7791200200637											6	GIN			A	2021-12-18
L	9100063766	13386	CAMPARI	LICOR BOLS PETACA DULCE DE LECHE X200	UNI	7798131200491											44	LICORES			A	2021-12-18
L	9100063766	13387	CAMPARI	APERITIVO CINZANO ROSSO X 1 LTS.	UNI	7791200200552											1	APERITIVOS C/ALCOHOL			A	2021-12-18
L	9100063766	17883	CAMPARI	VODKA BOLS SANDIA X750	UNI	7791200200644											10	VODKA			A	2021-12-18
L	9100063766	17884	CAMPARI	VODKA BOLS POMELO X750	UNI	7791200200651											10	VODKA			A	2021-12-18
L	9100063766	17979	CAMPARI	VODKA BOLS X 750	UNI	7798131200811											10	VODKA			A	2021-12-18
L	9100063766	17980	CAMPARI	APERITIVO CINZANO BIANCO X 1LT	UNI	7791200200538											1	APERITIVOS C/ALCOHOL			A	2021-12-18
L	9100063766	18217	CAMPARI	VODKA SKYY INFUSIONS COCONUT X750	UNI	7791200200668											10	VODKA			A	2021-12-18
L	9100063766	18218	CAMPARI	ESTUCHE APERITIVO CAMPARI 6X750 + COPA	UNI	7791200200576											1	APERITIVOS C/ALCOHOL			I	2021-12-18
L	9100063766	18234	CAMPARI	APERITIVO CAMPARI  X 750	UNI	7891136052000											1	APERITIVOS C/ALCOHOL			A	2021-12-18
L	9100063766	18315	CAMPARI	ESPUMANTE CINZANO PRO-SPRITZ DEMI SE X75	UNI	7791200200705											13	VINOS ESPUMANTES			A	2021-12-18
L	9100063766	18451	CAMPARI	GIN BOLS SABOR CITRIC X 750	UNI	7791200200682											6	GIN			A	2021-12-18
L	9100063766	18452	CAMPARI	GIN BOLS SABOR HERBAL X 750	UNI	7791200200699											6	GIN			A	2021-12-18
L	9100063766	18453	CAMPARI	GIN BOLS SABOR PINK HIBISCUS X 750	UNI	7791200200675											6	GIN			A	2021-12-18
E																						
